2023-10-18T11:40:43+02:00
Running ./../build/reduction-benchmark_qdr
Run on (32 X 2600 MHz CPU s)
CPU Caches:
  L1 Data 16 KiB (x32)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 6144 KiB (x8)
Load Average: 17.23, 17.85, 16.36
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bytes","Elements"
"benchReduceOmpNoInit/32768/real_time_mean",50,4321.32,2580.03,us,,,"ReduceOmpNoInit",,,131072,32768
"benchReduceOmpNoInit/32768/real_time_median",50,4361.9,2538.69,us,,,"ReduceOmpNoInit",,,131072,32768
"benchReduceOmpNoInit/32768/real_time_stddev",50,485.26,259.622,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/32768/real_time_cv",50,2245.89,2012.55,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/65536/real_time_mean",50,4606.18,2759.25,us,,,"ReduceOmpNoInit",,,262144,65536
"benchReduceOmpNoInit/65536/real_time_median",50,4376.99,2591.49,us,,,"ReduceOmpNoInit",,,262144,65536
"benchReduceOmpNoInit/65536/real_time_stddev",50,1373.2,526.557,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/65536/real_time_cv",50,5962.4,3816.67,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/131072/real_time_mean",50,4470.93,2553.06,us,,,"ReduceOmpNoInit",,,524288,131072
"benchReduceOmpNoInit/131072/real_time_median",50,4365.96,2573.24,us,,,"ReduceOmpNoInit",,,524288,131072
"benchReduceOmpNoInit/131072/real_time_stddev",50,719.708,61.1109,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/131072/real_time_cv",50,3219.5,478.726,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/262144/real_time_mean",50,4158.38,2531.8,us,,,"ReduceOmpNoInit",,,1.04858e+06,262144
"benchReduceOmpNoInit/262144/real_time_median",50,4261.88,2543.59,us,,,"ReduceOmpNoInit",,,1.04858e+06,262144
"benchReduceOmpNoInit/262144/real_time_stddev",50,215.339,81.5244,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/262144/real_time_cv",50,1035.69,644.004,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/524288/real_time_mean",50,4305.01,2563.29,us,,,"ReduceOmpNoInit",,,2.09715e+06,524288
"benchReduceOmpNoInit/524288/real_time_median",50,4358.41,2555.43,us,,,"ReduceOmpNoInit",,,2.09715e+06,524288
"benchReduceOmpNoInit/524288/real_time_stddev",50,345.789,132.542,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/524288/real_time_cv",50,1606.45,1034.16,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/1048576/real_time_mean",50,4367.74,2533.92,us,,,"ReduceOmpNoInit",,,4.1943e+06,1.04858e+06
"benchReduceOmpNoInit/1048576/real_time_median",50,4386.93,2569.59,us,,,"ReduceOmpNoInit",,,4.1943e+06,1.04858e+06
"benchReduceOmpNoInit/1048576/real_time_stddev",50,126.421,163.515,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/1048576/real_time_cv",50,578.886,1290.61,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/2097152/real_time_mean",50,4235.34,2512.76,us,,,"ReduceOmpNoInit",,,8.38861e+06,2.09715e+06
"benchReduceOmpNoInit/2097152/real_time_median",50,4277.74,2566.29,us,,,"ReduceOmpNoInit",,,8.38861e+06,2.09715e+06
"benchReduceOmpNoInit/2097152/real_time_stddev",50,241.53,172.957,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/2097152/real_time_cv",50,1140.55,1376.63,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/4194304/real_time_mean",50,4332.85,2544.41,us,,,"ReduceOmpNoInit",,,1.67772e+07,4.1943e+06
"benchReduceOmpNoInit/4194304/real_time_median",50,4375.83,2587.07,us,,,"ReduceOmpNoInit",,,1.67772e+07,4.1943e+06
"benchReduceOmpNoInit/4194304/real_time_stddev",50,282.7,162.478,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/4194304/real_time_cv",50,1304.91,1277.14,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/8388608/real_time_mean",50,5424.15,2557.05,us,,,"ReduceOmpNoInit",,,3.35544e+07,8.38861e+06
"benchReduceOmpNoInit/8388608/real_time_median",50,5332.47,2610.31,us,,,"ReduceOmpNoInit",,,3.35544e+07,8.38861e+06
"benchReduceOmpNoInit/8388608/real_time_stddev",50,293.125,202.671,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/8388608/real_time_cv",50,1080.81,1585.19,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/16777216/real_time_mean",50,6904.17,2733.61,us,,,"ReduceOmpNoInit",,,6.71089e+07,1.67772e+07
"benchReduceOmpNoInit/16777216/real_time_median",50,6249.1,2721.39,us,,,"ReduceOmpNoInit",,,6.71089e+07,1.67772e+07
"benchReduceOmpNoInit/16777216/real_time_stddev",50,2479.26,94.4592,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/16777216/real_time_cv",50,7181.92,691.096,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/33554432/real_time_mean",50,9711.75,3168.86,us,,,"ReduceOmpNoInit",,,1.34218e+08,3.35544e+07
"benchReduceOmpNoInit/33554432/real_time_median",50,8269.08,3100.64,us,,,"ReduceOmpNoInit",,,1.34218e+08,3.35544e+07
"benchReduceOmpNoInit/33554432/real_time_stddev",50,4617.66,302.754,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/33554432/real_time_cv",50,9509.43,1910.81,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/67108864/real_time_mean",50,11414.6,4013.83,us,,,"ReduceOmpNoInit",,,2.68435e+08,6.71089e+07
"benchReduceOmpNoInit/67108864/real_time_median",50,11356.7,4015.11,us,,,"ReduceOmpNoInit",,,2.68435e+08,6.71089e+07
"benchReduceOmpNoInit/67108864/real_time_stddev",50,360.064,58.1691,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/67108864/real_time_cv",50,630.882,289.843,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/134217728/real_time_mean",50,15287,6033.14,us,,,"ReduceOmpNoInit",,,5.36871e+08,1.34218e+08
"benchReduceOmpNoInit/134217728/real_time_median",50,15071.1,5557.14,us,,,"ReduceOmpNoInit",,,5.36871e+08,1.34218e+08
"benchReduceOmpNoInit/134217728/real_time_stddev",50,1073.99,1002.99,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/134217728/real_time_cv",50,1405.11,3324.95,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/268435456/real_time_mean",50,22571,10798.2,us,,,"ReduceOmpNoInit",,,1.07374e+09,2.68435e+08
"benchReduceOmpNoInit/268435456/real_time_median",50,22441.6,10780,us,,,"ReduceOmpNoInit",,,1.07374e+09,2.68435e+08
"benchReduceOmpNoInit/268435456/real_time_stddev",50,367.672,561.574,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/268435456/real_time_cv",50,325.792,1040.13,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/536870912/real_time_mean",50,37373.3,17847.3,us,,,"ReduceOmpNoInit",,,2.14748e+09,5.36871e+08
